instrument_token,trading_symbol,instrument_type,lot_size,tick_size,isin,segment,expiry,strike,option_type,exchange_token,exchange,last_price,margin_rate
10100000001,GOLDSTAR POWER LIMITED,0,11250,0.05,INE405Y01021,0,2024-10-04,,,10,NSE,GOLDSTAR,-1.0
101000000010,ABAN OFFSHORE LTD.,0,1,0.01,INE421A01028,0,2024-10-04,,,10,NSE,ABAN,-1.0
1010000000100,AMARA RAJA ENERGY MOB LTD,0,1,0.05,INE885A01032,0,2024-10-04,,,10,NSE,ARE&M,-1.0
10100000001000,SDL MH 6.56% 2032,5,100,0.01,IN2220200306,0,2024-10-04,,,10,NSE,656MH32,-1.0
10100000001001,SEC RED NCD 9.40% SR. V,2,1,0.01,INE721A07NX5,0,2024-10-04,,,10,NSE,94SFL28,-1.0
10100000001004,SDL AP 6.79% 2034,5,100,0.01,IN1020200466,0,2024-10-04,,,10,NSE,679AP34,-1.0
101000000010046,GOI LOAN 7.57% 2033,6,1,0.01,IN0020190065,0,2024-10-04,,,10,NSE,757GS2033,-1.0
101000000010051,SBIAMC - SFMP6DD,8,1,0.01,INF200KA1F35,0,2024-10-04,,,10,NSE,SFMP6DD,-1.0
101000000010052,SBIAMC - SFMP6DR,8,1,0.01,INF200KA1F19,0,2024-10-04,,,10,NSE,SFMP6DR,-1.0
101000000010055,SBIAMC - SFMP6GD,8,1,0.01,INF200KA1F27,0,2024-10-04,,,10,NSE,SFMP6GD,-1.0
10100000001006,SDL KA 6.75% 2035,5,100,0.01,IN1920200384,0,2024-10-04,,,10,NSE,675KA35,-1.0
101000000010060,SBIAMC - SFMP6GR,8,1,0.01,INF200KA1F01,0,2024-10-04,,,10,NSE,SFMP6GR,-1.0
10100000001007,SDL PN 6.79% 2035,5,100,0.01,IN2820200144,0,2024-10-04,,,10,NSE,679PN35,-1.0
101000000010074,EMAMI PAPER MILLS LIMITED,0,1,0.01,INE830C01026,0,2024-10-04,,,10,NSE,EMAMIPAP,-1.0
10100000001008,FACT LTD,0,1,0.05,INE188A01015,0,2024-10-04,,,10,NSE,FACT,-1.0
10100000001009,SDL JK 6.8% 2035,5,100,0.01,IN4920200107,0,2024-10-04,,,10,NSE,68JK35,-1.0
101000000010099,GODREJ CONSUMER PRODUCTS,0,1,0.05,INE102D01028,0,2024-10-04,,,10,NSE,GODREJCP,-1.0
10100000001011,SCHAEFFLER INDIA LIMITED,0,1,0.05,INE513A01022,0,2024-10-04,,,10,NSE,SCHAEFFLER,-1.0
101000000010115,CORAL INDIA FIN & HOUS LT,0,1,0.01,INE558D01021,0,2024-10-04,,,10,NSE,CORALFINAC,-1.0
10100000001012,SDL MP 6.76% 2040,5,100,0.01,IN2120200208,0,2024-10-04,,,10,NSE,676MP40,-1.0
10100000001015,SDL WB 6.88% 2040,5,100,0.01,IN3420200146,0,2024-10-04,,,10,NSE,688WB40,-1.0
101000000010159,ORICON ENTERPRISES LTD,0,1,0.01,INE730A01022,0,2024-10-04,,,10,NSE,ORICONENT,-1.0
101000000010176,SBI-ETF NIFTY 50,9,1,0.01,INF200KA1FS1,0,2024-10-04,,,10,NSE,SETFNIF50,-1.0
10100000001018,SDL TS 6.8% 2050,5,100,0.01,IN4520200200,0,2024-10-04,,,10,NSE,68TS50,-1.0
101000000010181,BALKRISHNA PAPER MILLS L,0,1,0.01,INE875R01011,0,2024-10-04,,,10,NSE,BALKRISHNA,-1.0
101000000010188,SHYAM CENTURY FERROUS LTD,0,1,0.01,INE979R01011,0,2024-10-04,,,10,NSE,SHYAMCENT,-1.0
101000000010190,SDL TN 7.81% 2052,5,100,0.01,IN3120220055,0,2024-10-04,,,10,NSE,781TN52,-1.0
